fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
Geraldo de Freitas,55.0,77.66666666666667,3.0,39.333333333333336,12.0,3.6666666666666665,46.666666666666664,6.333333333333333,2.0,105.33333333333333,131.66666666666666,6.666666666666667,0.0,0.0,0.6666666666666666,174.66666666666666,0.5318765664160401,0.40079365079365076
Germaine de Randamie,31.7,65.0,0.0,15.0,10.8,5.9,18.8,11.8,1.1,66.0,104.8,0.1,0.2,0.3,0.0,66.4,0.49075943093788094,0.0
Gerry Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geza Kalman,21.0,48.0,0.0,9.0,7.0,5.0,0.0,18.0,3.0,36.0,64.0,2.0,0.0,1.0,1.0,0.0,0.5833333333333334,0.0
Gian Villante,51.27777777777778,57.72222222222222,0.2777777777777778,33.388888888888886,7.444444444444445,10.444444444444445,45.5,2.888888888888889,2.888888888888889,117.16666666666667,124.27777777777777,1.2222222222222223,0.2222222222222222,0.0,0.0,38.833333333333336,0.4627066742773585,0.28125
Gideon Ray,7.0,7.333333333333333,0.3333333333333333,2.0,1.6666666666666667,3.3333333333333335,4.666666666666667,2.0,0.3333333333333333,17.333333333333332,17.666666666666668,0.3333333333333333,0.0,0.0,0.0,11.666666666666666,0.3859160163507989,1.0
Giga Chikadze,52.45454545454545,57.72727272727273,0.18181818181818182,30.727272727272727,13.090909090909092,8.636363636363637,47.81818181818182,0.45454545454545453,4.181818181818182,124.9090909090909,131.45454545454547,0.45454545454545453,0.5454545454545454,0.18181818181818182,0.2727272727272727,17.272727272727273,0.4543058457017461,0.375
Gil Castillo,9.0,77.0,3.3333333333333335,7.333333333333333,1.0,0.6666666666666666,4.333333333333333,0.6666666666666666,4.0,20.0,92.66666666666667,7.333333333333333,0.0,0.0,0.0,493.6666666666667,0.45838383838383834,0.6842105263157895
Gilbert Aldana,17.0,29.0,1.0,12.0,3.0,2.0,3.0,9.5,4.5,31.0,44.0,2.5,0.0,0.0,0.0,141.5,0.6342592592592593,0.3333333333333333
Gilbert Burns,38.916666666666664,56.5,1.75,23.125,8.583333333333334,7.208333333333333,29.083333333333332,4.083333333333333,5.75,80.54166666666667,100.375,4.625,0.16666666666666666,0.375,0.0,175.83333333333334,0.4970147289828984,0.41421042725390556
Gilbert Melendez,42.0,57.857142857142854,0.42857142857142855,32.714285714285715,6.428571428571429,2.857142857142857,36.714285714285715,4.285714285714286,1.0,145.57142857142858,163.57142857142858,2.5714285714285716,0.0,0.0,0.0,50.142857142857146,0.2818254353695921,0.3541666666666667
Gilbert Smith,14.0,24.0,3.0,6.0,6.0,2.0,12.0,2.0,0.0,34.0,45.0,5.0,0.0,1.0,1.0,229.0,0.4117647058823529,0.6
Gilbert Urbina,29.25,46.0,1.0,17.75,7.0,4.5,15.75,5.5,8.0,51.5,70.5,2.25,0.5,0.25,0.0,88.25,0.5337772785622593,0.4444444444444444
Gilbert Yvel,12.0,24.0,0.0,11.0,0.6666666666666666,0.3333333333333333,2.6666666666666665,1.6666666666666667,7.666666666666667,27.0,40.666666666666664,0.3333333333333333,0.0,0.6666666666666666,1.0,32.0,0.23588342440801457,0.0
