fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
Thiago Moises,26.6,38.2,0.6,13.6,3.6,9.4,17.8,1.0,7.8,52.8,68.2,2.6,0.2,0.6,0.2,185.8,0.5137568707506937,0.4444444444444444
Thiago Perpetuo,28.666666666666668,38.0,1.0,19.333333333333332,7.666666666666667,1.6666666666666667,13.666666666666666,3.6666666666666665,11.333333333333334,41.0,53.0,2.0,0.6666666666666666,0.0,0.0,124.0,0.45542046605876396,0.75
Thiago Santos,49.2,64.6,1.2,19.8,13.6,15.8,37.6,5.0,6.6,99.6,116.2,4.4,0.4,0.0,0.0,89.8,0.5095629308305143,0.09999999999999999
Thiago Silva,56.8,88.0,0.8,29.6,8.8,18.4,37.0,9.8,10.0,116.6,153.4,0.8,0.4,0.4,0.0,176.4,0.4952218894118766,1.0
Thiago Tavares,13.6,38.8,2.2,11.4,1.2,1.0,6.6,0.8,6.2,29.6,57.6,3.4,0.0,0.6,0.0,186.2,0.46352334007790424,0.803030303030303
Thibault Gouti,36.0,47.0,0.8,28.0,4.4,3.6,29.0,3.4,3.6,104.2,116.6,1.0,0.2,0.2,0.2,85.6,0.36918487053706867,0.8
Thomas Almeida,45.2,45.4,0.2,23.8,8.0,13.4,42.2,2.6,0.4,115.6,116.2,1.4,0.2,0.0,0.0,10.0,0.38863468297880155,0.25
Thomas Gifford,59.0,87.5,0.5,30.5,11.5,17.0,52.0,6.0,1.0,156.0,186.5,1.5,0.0,0.0,0.0,50.5,0.39610389610389607,0.5
Thomas Petersen,39.4,75.8,2.6,24.6,11.8,3.0,31.6,2.4,5.4,68.8,116.0,5.8,0.0,0.2,0.0,238.2,0.5580258473460162,0.5133333333333334
Thomas Ramirez,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Tiago dos Santos e Silva,44.25,57.5,0.5,19.75,10.5,14.0,34.25,9.75,0.25,124.25,139.75,4.5,0.0,0.25,0.5,155.25,0.41748273492239096,0.1111111111111111
Tiki Ghosn,14.75,18.75,0.0,5.25,5.25,4.25,9.5,5.25,0.0,33.25,37.25,0.0,0.0,0.0,0.0,38.5,0.39370748299319724,0.0
Tim Boetsch,21.8,28.2,0.0,10.8,6.0,5.0,17.2,3.8,0.8,43.6,50.2,0.4,0.2,0.0,0.0,2.4,0.5149020955461222,0.0
Tim Credeur,26.2,31.2,0.2,20.8,3.8,1.6,23.4,1.6,1.2,84.8,92.2,0.2,0.4,1.6,0.0,55.6,0.32247489478817126,1.0
Tim Elliott,34.8,81.8,2.6,19.0,6.2,9.6,23.6,5.8,5.4,74.2,135.2,4.6,0.2,1.0,0.0,221.4,0.49734308744686323,0.638095238095238
Tim Gorman,41.0,60.5,1.0,37.5,1.0,2.5,36.0,5.0,0.0,129.0,150.5,10.5,0.0,0.0,0.0,269.5,0.2859443294225903,0.09090909090909091
Tim Hague,19.4,24.8,0.8,16.2,1.8,1.4,10.2,4.8,4.4,40.8,46.6,2.4,0.0,0.4,0.0,98.0,0.27214285714285713,0.5714285714285714
Tim Kennedy,38.6,54.6,2.0,18.4,9.6,10.6,23.8,9.8,5.0,84.6,104.0,5.8,0.2,0.2,0.2,265.4,0.4505894623778996,0.33238636363636365
Tim Lajcik,9.666666666666666,51.0,0.0,7.333333333333333,2.3333333333333335,0.0,1.6666666666666667,1.3333333333333333,6.666666666666667,25.0,71.0,0.3333333333333333,0.0,0.0,0.0,214.0,0.38141321044546855,0.0
Tim McKenzie,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Tim Means,40.6,68.8,1.0,20.6,15.2,4.8,26.6,9.8,4.2,75.0,105.2,2.4,0.4,0.0,0.2,76.4,0.4784237169773814,0.4
Tim Sylvia,58.4,92.4,0.0,39.8,7.4,11.2,37.0,14.4,7.0,159.2,195.8,0.0,0.2,0.2,0.2,203.2,0.370246794625115,0.0
Tim Williams,25.5,30.0,1.0,16.5,2.5,6.5,23.0,1.5,1.0,65.5,72.0,2.5,0.0,0.0,0.0,46.0,0.4124877089478859,0.4
Timmy Cuamba,37.0,45.5,1.5,24.25,8.5,4.25,29.5,4.0,3.5,76.5,86.5,4.75,0.25,0.0,0.25,155.0,0.5235148798606016,0.32916666666666666
Timothy Johnson,47.2,82.2,0.4,29.6,8.4,9.2,19.6,22.2,5.4,102.2,144.0,3.8,0.2,0.0,0.0,289.8,0.46150163889591617,0.10833333333333334
Timur Valiev,67.5,83.25,1.5,31.5,18.25,17.75,55.0,4.25,8.25,127.25,146.75,3.75,0.25,0.25,0.0,211.25,0.5796561969439729,0.4444444444444444
Tina Lahdemaki,29.0,49.0,0.0,21.0,5.0,3.0,26.0,3.0,0.0,141.0,170.0,0.0,0.0,0.0,0.0,0.0,0.20567375886524822,0.0
Tito Ortiz,21.2,30.6,0.8,16.2,3.0,2.0,17.0,2.8,1.4,63.8,74.0,2.0,0.2,0.4,0.0,58.4,0.3509704395965341,0.375
Todd Brown,21.5,33.0,0.0,7.0,5.5,9.0,12.5,9.0,0.0,47.5,59.5,1.5,0.0,0.0,0.0,129.0,0.5205314009661836,0.0
